drug_name,drug_class,symptoms_treated,category,advice
Vernakalant,Antiarrhythmic,acute conversion of recent-onset atrial fibrillation,Cardiovascular,IV only. Effective in <48 hr AFib onset.
Metoclopramide,Prokinetic/Antiemetic,"nausea, vomiting, gastroparesis, GERD",Gastroenterology,Avoid long-term use — risk of tardive dyskinesia.
Prazosin,Alpha Blocker,"hypertension, PTSD nightmares, heart failure",Cardiovascular,First-dose syncope possible. Start with low dose.
Doxazosin,Alpha Blocker,"hypertension, benign prostatic hyperplasia",Cardiovascular/Urology,First-dose hypotension. Take at bedtime.
Rivaroxaban,Direct Oral Anticoagulant,"DVT, pulmonary embolism, atrial fibrillation",Cardiovascular,Take with evening meal for AFib. Avoid in severe renal impairment.
Fluvastatin,Statin,"hyperlipidemia, cardiovascular risk",Cardiovascular,Take at bedtime. Extended-release form available.
Fluvastatin,Statin,"hyperlipidemia, cardiovascular risk",Cardiovascular,Take at bedtime. Extended-release form available.
Furosemide,Loop Diuretic,"heart failure, edema, hypertension, fluid retention",Cardiovascular,Monitor electrolytes. Take in morning to avoid nocturia.
Amlodipine,Calcium Channel Blocker,"hypertension, angina, coronary artery disease",Cardiovascular,May cause ankle swelling. Take at same time daily.
Levothyroxine,Thyroid Hormone,"hypothyroidism, thyroid hormone deficiency",Endocrine,Take on empty stomach. Recheck TSH every 6 months.
Methyldopa,Central Antihypertensive,"hypertension in pregnancy, essential hypertension",Cardiovascular,Drug of choice in gestational hypertension.
Apixaban,Direct Oral Anticoagulant,"atrial fibrillation, DVT, stroke prevention",Cardiovascular,No routine monitoring needed. Report unusual bleeding.
Enoxaparin,Low Molecular Weight Heparin,"DVT prophylaxis, ACS, PE",Cardiovascular,Subcutaneous injection. Reduce dose in renal impairment.
Cholestyramine,Bile Acid Sequestrant,"high LDL, cholestatic pruritus",Cardiovascular,Mix with liquid. Take other drugs 1 hour before or 4 hours after.
Morphine,Opioid Analgesic,"severe pain, acute pulmonary edema, cancer pain",Pain Management,Respiratory depression risk. Use with caution.
Apixaban,Direct Oral Anticoagulant,"atrial fibrillation, DVT, stroke prevention",Cardiovascular,No routine monitoring needed. Report unusual bleeding.
Disopyramide,Class IA Antiarrhythmic,"atrial flutter, ventricular tachycardia, hypertrophic cardiomyopathy",Cardiovascular,Anticholinergic side effects. Negative inotrope.
Lidocaine IV,Class IB Antiarrhythmic,"ventricular arrhythmia, cardiac arrest (IV use)",Cardiovascular,IV use only in hospital. CNS toxicity at high doses.
Vernakalant,Antiarrhythmic,acute conversion of recent-onset atrial fibrillation,Cardiovascular,IV only. Effective in <48 hr AFib onset.
Olmesartan,ARB,hypertension,Cardiovascular,Rarely causes sprue-like enteropathy. Monitor accordingly.
Sacubitril,Neprilysin Inhibitor,used in combination with valsartan for HFrEF,Cardiovascular,Part of ARNI combination drug Entresto.
Dopamine,Vasopressor/Inotrope,"cardiogenic shock, acute heart failure",Cardiovascular,Dose-dependent effects. Monitor urine output.
Amiodarone,Antiarrhythmic,"ventricular tachycardia, atrial fibrillation, arrhythmia",Cardiovascular,Multiple organ toxicity risk. Regular monitoring essential.
Eplerenone,Mineralocorticoid Antagonist,"post-MI heart failure, hypertension",Cardiovascular,Monitor potassium. Avoid with strong CYP3A4 inhibitors.
Aliskiren,Direct Renin Inhibitor,hypertension,Cardiovascular,Avoid with ACE inhibitor or ARB in diabetics.
Prednisolone,Corticosteroid,"asthma, COPD exacerbation, autoimmune diseases, inflammation",Respiratory/Immune,Take in morning with food. Taper dose gradually.
Mexiletine,Class IB Antiarrhythmic,"ventricular arrhythmia, neuropathic pain",Cardiovascular,Take with food. Monitor QRS duration.
Atorvastatin,Statin,"high cholesterol, hyperlipidemia, atherosclerosis",Cardiovascular,Take at night. Monitor liver enzymes periodically.
Candesartan,ARB,"hypertension, heart failure, diabetic nephropathy",Cardiovascular,One of the most potent ARBs. Well tolerated.
Apixaban,Direct Oral Anticoagulant,"atrial fibrillation, DVT, stroke prevention",Cardiovascular,No routine monitoring needed. Report unusual bleeding.
Heparin,Anticoagulant,"DVT, PE, ACS, atrial fibrillation, clot prevention",Cardiovascular,Monitor aPTT. Risk of HIT with prolonged use.
Rivaroxaban,Direct Oral Anticoagulant,"DVT, pulmonary embolism, atrial fibrillation",Cardiovascular,Take with evening meal for AFib. Avoid in severe renal impairment.
Aliskiren,Direct Renin Inhibitor,hypertension,Cardiovascular,Avoid with ACE inhibitor or ARB in diabetics.
Fluvastatin,Statin,"hyperlipidemia, cardiovascular risk",Cardiovascular,Take at bedtime. Extended-release form available.
Alteplase,Thrombolytic,"acute MI, ischemic stroke, pulmonary embolism",Cardiovascular,Bleeding risk is high. Used in emergency settings only.
Chlorthalidone,Thiazide-like Diuretic,"hypertension, heart failure prevention",Cardiovascular,Longer-acting than HCTZ. Morning dosing preferred.
Furosemide,Loop Diuretic,"heart failure, edema, hypertension, fluid retention",Cardiovascular,Monitor electrolytes. Take in morning to avoid nocturia.
Sotalol,Antiarrhythmic,"atrial fibrillation, ventricular arrhythmia",Cardiovascular,QT prolongation risk. Monitor ECG.
Doxazosin,Alpha Blocker,"hypertension, benign prostatic hyperplasia",Cardiovascular/Urology,First-dose hypotension. Take at bedtime.
Metoprolol,Beta-blocker,"hypertension, angina, heart failure, arrhythmia",Cardiovascular,Do not stop abruptly. Monitor pulse regularly.
Rosuvastatin,Statin,"high LDL cholesterol, cardiovascular risk reduction",Cardiovascular,Check liver function tests. Avoid excessive alcohol.
Aliskiren,Direct Renin Inhibitor,hypertension,Cardiovascular,Avoid with ACE inhibitor or ARB in diabetics.
Lidocaine IV,Class IB Antiarrhythmic,"ventricular arrhythmia, cardiac arrest (IV use)",Cardiovascular,IV use only in hospital. CNS toxicity at high doses.
Enalapril,ACE Inhibitor,"hypertension, heart failure, left ventricular dysfunction",Cardiovascular,First dose hypotension risk. Take at bedtime initially.
Morphine,Opioid Analgesic,"severe pain, acute pulmonary edema, cancer pain",Pain Management,Respiratory depression risk. Use with caution.
Atorvastatin,Statin,"high cholesterol, hyperlipidemia, atherosclerosis",Cardiovascular,Take at night. Monitor liver enzymes periodically.
Digoxin,Cardiac Glycoside,"heart failure, atrial fibrillation, atrial flutter",Cardiovascular,Narrow therapeutic window. Report nausea or visual changes.
Clopidogrel,Antiplatelet,"stroke prevention, heart attack, peripheral artery disease",Cardiovascular,Avoid with PPIs. Report unusual bleeding.
Irbesartan,ARB,"hypertension, diabetic nephropathy",Cardiovascular,Monitor renal function. Avoid bilateral renal artery stenosis.
Digoxin,Cardiac Glycoside,"heart failure, atrial fibrillation, atrial flutter",Cardiovascular,Narrow therapeutic window. Report nausea or visual changes.
Carvedilol,Alpha/Beta-blocker,"heart failure, hypertension, post-MI",Cardiovascular,Take with food. Monitor blood sugar in diabetics.
Felodipine,Dihydropyridine CCB,"hypertension, angina",Cardiovascular,Avoid grapefruit juice. Swallow whole.
Rosuvastatin,Statin,"high LDL cholesterol, cardiovascular risk reduction",Cardiovascular,Check liver function tests. Avoid excessive alcohol.
Mexiletine,Class IB Antiarrhythmic,"ventricular arrhythmia, neuropathic pain",Cardiovascular,Take with food. Monitor QRS duration.
Empagliflozin,SGLT2 Inhibitor,"heart failure, type 2 diabetes, cardiovascular risk reduction",Cardiovascular,Risk of genital infections. Maintain hydration.
Ezetimibe,Cholesterol Absorption Inhibitor,"high LDL, hypercholesterolemia",Cardiovascular,Can be combined with statins. Well tolerated.
Dobutamine,Inotrope,"acute heart failure, cardiogenic shock, stress testing",Cardiovascular,IV infusion only. Continuous cardiac monitoring required.
Metformin,Biguanide,"type 2 diabetes, prediabetes, insulin resistance",Endocrine,Take with meals. Stop before contrast procedures.
Furosemide,Loop Diuretic,"heart failure, edema, hypertension, fluid retention",Cardiovascular,Monitor electrolytes. Take in morning to avoid nocturia.
Azilsartan,ARB,hypertension,Cardiovascular,Strong and sustained blood pressure lowering.
Morphine,Opioid Analgesic,"severe pain, acute pulmonary edema, cancer pain",Pain Management,Respiratory depression risk. Use with caution.
Indapamide,Thiazide-like Diuretic,"hypertension, fluid retention",Cardiovascular,Better metabolic profile than HCTZ.
Apixaban,Direct Oral Anticoagulant,"atrial fibrillation, DVT, stroke prevention",Cardiovascular,No routine monitoring needed. Report unusual bleeding.
Prazosin,Alpha Blocker,"hypertension, PTSD nightmares, heart failure",Cardiovascular,First-dose syncope possible. Start with low dose.
Irbesartan,ARB,"hypertension, diabetic nephropathy",Cardiovascular,Monitor renal function. Avoid bilateral renal artery stenosis.
Azilsartan,ARB,hypertension,Cardiovascular,Strong and sustained blood pressure lowering.
Amiodarone,Antiarrhythmic,"ventricular tachycardia, atrial fibrillation, arrhythmia",Cardiovascular,Multiple organ toxicity risk. Regular monitoring essential.
Enalapril,ACE Inhibitor,"hypertension, heart failure, left ventricular dysfunction",Cardiovascular,First dose hypotension risk. Take at bedtime initially.
Enoxaparin,Low Molecular Weight Heparin,"DVT prophylaxis, ACS, PE",Cardiovascular,Subcutaneous injection. Reduce dose in renal impairment.
Mannitol,Osmotic Diuretic,"raised intracranial pressure, acute glaucoma",Neurology/Renal,IV infusion. Monitor serum osmolarity.
Ibutilide,Class III Antiarrhythmic,acute conversion of atrial flutter or fibrillation,Cardiovascular,IV only in hospital. QT prolongation risk.
Fenofibrate,Fibrate,"hypertriglyceridemia, mixed dyslipidemia",Cardiovascular,Take with food. Monitor renal function.
